# {'f_': [5, 9], 'mu_': [15, 15], 'n': 2000, 'N': 4, 'M': 5, 'mu': [14, 14], 'x': [10, 13], 'f': [0, 4]}
1358,0.037,0.037,0.060,0.053,4.803,0.005,0.005,0.008,0.006,0.537,0.013,0.626,0.457,0.498,1.600,3.008
1577,0.033,0.028,0.047,6.168,0.345,0.005,0.004,0.006,0.690,0.039,0.964,0.007,0.473,0.553,1.180,1.720
644,0.468,0.373,7.320,0.138,1.163,0.065,0.048,0.934,0.015,0.130,0.900,0.988,0.052,0.572,0.867,0.944
603,2.548,7.761,1.164,0.109,0.711,0.353,1.000,0.148,0.012,0.079,0.945,0.992,0.910,0.202,0.849,0.859
225,0.739,6.819,3.808,0.175,0.544,0.102,0.879,0.486,0.019,0.061,0.956,0.986,0.677,0.069,0.788,0.916
416,0.004,0.006,0.006,4.389,2.572,0.001,0.001,0.001,0.491,0.288,0.662,0.001,0.555,0.398,0.782,1.596
262,0.018,0.015,6.817,1.341,1.344,0.002,0.002,0.870,0.150,0.150,0.878,0.876,0.002,0.548,0.737,0.849
446,0.016,0.022,4.556,4.479,0.000,0.002,0.003,0.581,0.501,0.000,1.000,0.505,0.004,0.389,0.735,1.265
1205,0.115,6.235,0.385,4.510,0.569,0.016,0.803,0.049,0.504,0.064,0.953,0.602,0.961,0.012,0.677,0.860
682,2.079,7.761,0.377,1.272,1.145,0.288,1.000,0.048,0.142,0.128,0.911,0.900,0.970,0.167,0.658,0.691
99,0.224,0.111,7.308,2.087,0.206,0.031,0.014,0.932,0.233,0.023,0.983,0.823,0.022,0.708,0.647,0.705
695,7.217,1.273,0.275,3.207,0.204,1.000,0.164,0.035,0.359,0.023,0.984,0.738,0.976,0.889,0.646,0.662
1487,0.089,0.084,0.143,5.088,1.802,0.012,0.011,0.018,0.569,0.201,0.783,0.024,0.451,0.517,0.644,1.153
1756,0.750,0.750,1.061,1.500,2.121,0.104,0.097,0.135,0.168,0.237,0.500,0.500,0.500,0.500,0.625,4.464
1238,0.656,0.670,0.812,1.469,2.483,0.091,0.086,0.104,0.164,0.278,0.419,0.446,0.546,0.493,0.615,3.204
737,2.403,7.458,1.629,0.588,0.611,0.333,0.961,0.208,0.066,0.068,0.952,0.953,0.869,0.198,0.614,0.686
1797,4.662,5.683,0.438,0.351,1.063,0.646,0.732,0.056,0.039,0.119,0.909,0.970,0.962,0.437,0.609,0.878
585,0.750,0.594,0.921,1.445,2.445,0.104,0.076,0.117,0.162,0.273,0.431,0.473,0.512,0.574,0.607,3.081
799,0.479,0.572,0.838,1.760,2.611,0.066,0.074,0.107,0.197,0.292,0.429,0.361,0.463,0.444,0.583,2.581
462,0.542,5.321,4.957,0.929,0.350,0.075,0.686,0.632,0.104,0.039,0.970,0.919,0.524,0.065,0.583,0.901
989,0.513,0.526,0.732,1.727,2.727,0.071,0.068,0.093,0.193,0.305,0.405,0.344,0.501,0.492,0.579,2.441
1896,0.016,0.024,0.040,0.054,4.926,0.002,0.003,0.005,0.006,0.551,0.010,0.472,0.400,0.371,0.571,1.041
1560,0.576,0.354,7.469,0.994,0.521,0.080,0.046,0.953,0.111,0.058,0.956,0.916,0.057,0.649,0.569,0.628
1435,5.998,0.029,0.929,4.446,0.533,0.831,0.004,0.119,0.497,0.060,0.955,0.597,0.902,0.997,0.557,0.673
1878,0.672,0.641,0.991,1.092,2.831,0.093,0.083,0.126,0.122,0.316,0.351,0.569,0.479,0.515,0.553,2.371
1081,1.877,2.628,5.667,0.575,0.018,0.260,0.339,0.723,0.064,0.002,0.998,0.944,0.330,0.395,0.551,0.764
820,0.006,0.004,6.593,2.268,1.129,0.001,0.000,0.841,0.254,0.126,0.898,0.789,0.001,0.665,0.538,0.640
605,0.392,0.299,4.831,3.832,0.106,0.054,0.038,0.616,0.429,0.012,0.989,0.575,0.065,0.586,0.537,0.890
52,0.617,0.548,0.664,1.292,3.081,0.086,0.071,0.085,0.144,0.344,0.316,0.437,0.569,0.538,0.533,1.953
501,6.773,0.608,0.205,0.815,3.735,0.938,0.078,0.026,0.091,0.417,0.682,0.924,0.981,0.943,0.527,0.578
1929,0.654,0.624,1.202,1.912,2.079,0.091,0.080,0.153,0.214,0.232,0.550,0.424,0.410,0.515,0.525,3.456
1335,0.514,0.591,0.650,1.204,3.224,0.071,0.076,0.083,0.135,0.360,0.290,0.447,0.559,0.456,0.519,1.796
584,0.852,0.771,0.944,1.569,2.170,0.118,0.099,0.120,0.175,0.243,0.499,0.483,0.562,0.532,0.517,3.592
1264,0.553,0.728,1.167,1.633,2.286,0.077,0.094,0.149,0.183,0.256,0.488,0.469,0.423,0.413,0.500,2.793
853,0.075,0.109,6.388,2.054,1.340,0.010,0.014,0.815,0.230,0.150,0.875,0.802,0.013,0.384,0.491,0.610
1051,4.844,4.979,1.066,0.844,0.790,0.671,0.642,0.136,0.094,0.088,0.929,0.924,0.903,0.491,0.491,0.842
1776,5.722,3.948,1.518,0.557,0.863,0.793,0.509,0.194,0.062,0.096,0.923,0.950,0.863,0.616,0.488,0.668
1137,0.227,0.238,0.462,3.309,2.902,0.031,0.031,0.059,0.370,0.324,0.546,0.108,0.394,0.486,0.456,1.345
1867,0.518,0.551,0.813,0.859,3.512,0.072,0.071,0.104,0.096,0.393,0.242,0.581,0.477,0.480,0.451,1.402
66,0.433,0.376,0.534,0.821,3.821,0.060,0.048,0.068,0.092,0.427,0.184,0.485,0.523,0.545,0.451,1.189
699,2.134,6.563,0.314,0.935,2.741,0.296,0.846,0.040,0.105,0.306,0.762,0.914,0.971,0.200,0.451,0.559
1360,0.477,0.436,1.275,1.485,2.976,0.066,0.056,0.163,0.166,0.333,0.386,0.488,0.299,0.529,0.449,1.621
1177,5.590,0.139,3.511,0.211,2.602,0.775,0.018,0.448,0.024,0.291,0.761,0.980,0.643,0.984,0.448,0.592
748,2.304,4.283,4.213,0.168,0.561,0.319,0.552,0.537,0.019,0.063,0.945,0.983,0.546,0.314,0.444,0.833
1701,0.298,6.059,1.154,0.123,4.280,0.041,0.781,0.147,0.014,0.478,0.614,0.987,0.880,0.031,0.444,0.579
1601,0.352,0.295,0.539,2.504,3.179,0.049,0.038,0.069,0.280,0.355,0.437,0.175,0.449,0.556,0.442,1.394
332,0.698,0.485,1.027,1.194,3.012,0.097,0.063,0.131,0.134,0.337,0.341,0.535,0.440,0.613,0.439,1.601
1407,7.053,1.592,1.444,1.251,1.841,0.977,0.205,0.184,0.140,0.206,0.846,0.893,0.874,0.859,0.435,0.519
265,6.047,0.307,1.375,4.020,0.419,0.838,0.040,0.175,0.450,0.047,0.964,0.634,0.858,0.968,0.434,0.544
1043,0.072,5.894,2.652,0.547,3.060,0.010,0.759,0.338,0.061,0.342,0.719,0.946,0.731,0.008,0.432,0.576
1130,4.690,0.187,4.813,2.070,0.273,0.650,0.024,0.614,0.232,0.030,0.975,0.810,0.492,0.975,0.431,0.689
1117,0.521,5.974,3.595,1.159,1.434,0.072,0.770,0.459,0.130,0.160,0.873,0.895,0.656,0.055,0.427,0.612
1044,0.006,3.762,4.187,3.339,0.041,0.001,0.485,0.534,0.373,0.005,0.996,0.659,0.466,0.001,0.420,0.789
1389,0.634,0.913,6.991,1.082,0.756,0.088,0.118,0.892,0.121,0.085,0.933,0.903,0.100,0.386,0.420,0.520
1225,6.244,0.087,0.397,2.619,2.911,0.865,0.011,0.051,0.293,0.325,0.742,0.748,0.960,0.991,0.419,0.490
677,0.124,0.164,5.068,0.564,3.546,0.017,0.021,0.647,0.063,0.396,0.613,0.929,0.026,0.413,0.417,0.661
1978,0.843,0.661,1.187,1.352,2.331,0.117,0.085,0.151,0.151,0.261,0.466,0.553,0.467,0.577,0.411,2.334
1696,0.219,0.138,0.279,3.339,3.217,0.030,0.018,0.036,0.373,0.360,0.514,0.072,0.476,0.642,0.409,1.151
