# {'n':1000, 'M':3, 'N':2, 'f':[0,2], 'f_':[3,5], 'x':[6,7]}
0,0.794,0.315,-0.527,0.795,0.315,0.424,0.794,0.315
1,0.743,0.266,-0.137,0.744,0.265,0.475,0.743,0.266
2,0.906,0.571,-1.940,0.906,0.571,0.240,0.906,0.571
3,0.684,0.199,0.385,0.685,0.199,0.543,0.684,0.199
4,0.075,0.333,2.351,0.075,0.333,0.800,0.075,0.333
5,0.989,0.292,-1.125,0.989,0.292,0.346,0.989,0.292
6,0.086,0.936,-0.088,0.085,0.937,0.482,0.086,0.936
7,0.402,0.423,-0.036,0.402,0.423,0.488,0.402,0.423
8,0.079,0.309,2.430,0.079,0.309,0.810,0.079,0.309
9,0.874,0.328,-0.839,0.874,0.328,0.384,0.874,0.328
10,0.234,0.641,0.336,0.234,0.641,0.537,0.234,0.641
11,0.147,0.320,2.087,0.147,0.320,0.766,0.147,0.320
12,0.369,0.271,1.192,0.369,0.271,0.649,0.369,0.271
13,0.671,0.833,-2.076,0.671,0.834,0.222,0.671,0.833
14,0.934,0.753,-2.757,0.935,0.754,0.133,0.934,0.753
15,0.745,0.360,-0.626,0.745,0.360,0.411,0.745,0.360
16,0.957,0.839,-3.185,0.958,0.839,0.077,0.957,0.839
17,0.061,0.402,2.133,0.061,0.402,0.772,0.061,0.402
18,0.052,0.773,0.695,0.052,0.773,0.584,0.052,0.773
19,0.124,0.782,0.366,0.124,0.782,0.541,0.124,0.782
20,0.009,0.863,0.511,0.009,0.864,0.560,0.009,0.863
21,0.036,0.510,1.802,0.036,0.510,0.728,0.036,0.510
22,0.886,0.478,-1.506,0.887,0.478,0.296,0.886,0.478
23,0.094,0.873,0.127,0.094,0.874,0.510,0.094,0.873
24,0.640,0.775,-1.810,0.641,0.776,0.257,0.640,0.775
25,0.897,0.931,-3.314,0.898,0.932,0.060,0.897,0.931
26,0.446,0.971,-1.679,0.446,0.972,0.274,0.446,0.971
