# {'f_': [4, 7], 'y_': [15, 16], 'x': [8, 10], 'y': [13, 14], 'f': [0, 3], 'N': 3, 'M': 4, 'mu_': [12, 12], 'n': 2000, 'mu': [11, 11]}
1898,0.018,0.638,0.895,-0.551,0.018,0.638,0.895,0.474,0.018,0.638,0.895,1.237,1.410,-32.328,-68.037,0.297,0.051
1103,0.001,0.091,0.024,0.885,0.001,0.091,0.023,1.000,0.001,0.091,0.024,1.081,1.082,67.433,61.559,0.914,0.943
417,0.652,0.160,0.375,-0.186,0.652,0.159,0.375,0.608,0.652,0.160,0.375,1.072,2.175,-22.561,49.010,0.358,0.857
1317,0.102,0.695,0.014,0.189,0.101,0.696,0.013,0.745,0.102,0.695,0.014,1.037,1.416,72.346,-7.764,0.944,0.466
1513,0.172,0.401,0.517,-0.092,0.172,0.401,0.517,0.642,0.172,0.401,0.517,1.003,2.134,14.411,15.077,0.586,0.623
1358,0.013,0.626,0.457,-0.095,0.013,0.626,0.456,0.641,0.013,0.626,0.457,0.982,1.564,15.441,8.913,0.592,0.581
381,0.002,0.608,0.211,0.178,0.002,0.608,0.211,0.741,0.002,0.608,0.211,0.965,1.305,74.988,-2.175,0.960,0.505
1634,0.029,0.526,0.019,0.427,0.028,0.526,0.019,0.832,0.029,0.526,0.019,0.962,1.183,81.426,28.196,1.000,0.714
778,0.120,0.549,0.430,-0.099,0.120,0.549,0.430,0.640,0.120,0.549,0.430,0.953,1.832,16.160,11.594,0.597,0.599
806,0.889,0.015,0.307,-0.212,0.889,0.015,0.307,0.599,0.889,0.015,0.307,0.932,1.067,-30.701,57.340,0.307,0.914
1384,0.021,0.009,0.097,0.873,0.020,0.009,0.097,0.996,0.021,0.009,0.097,0.925,0.937,66.600,62.039,0.908,0.946
470,0.115,0.457,0.525,-0.097,0.115,0.457,0.525,0.640,0.115,0.457,0.525,0.922,1.756,13.947,13.966,0.583,0.616
416,0.662,0.001,0.555,-0.219,0.662,0.001,0.555,0.596,0.662,0.001,0.555,0.895,1.354,-22.715,46.182,0.357,0.837
1120,0.743,0.817,0.002,-0.561,0.743,0.817,0.002,0.471,0.743,0.817,0.002,0.891,1.093,-1.050,-41.712,0.491,0.232
1216,0.031,0.695,0.385,-0.111,0.031,0.695,0.385,0.635,0.031,0.695,0.385,0.885,1.333,16.534,7.508,0.599,0.571
1731,0.097,0.449,0.052,0.401,0.097,0.449,0.052,0.823,0.097,0.449,0.052,0.843,1.094,80.635,29.132,0.995,0.720
677,0.613,0.929,0.026,-0.569,0.613,0.930,0.026,0.468,0.613,0.929,0.026,0.831,0.919,1.595,-44.161,0.507,0.216
1151,0.063,0.849,0.715,-0.627,0.063,0.849,0.715,0.447,0.063,0.849,0.715,0.809,1.029,-38.602,-75.371,0.259,0.001
92,0.487,0.389,0.460,-0.438,0.487,0.389,0.460,0.516,0.487,0.389,0.460,0.800,6.302,4.594,-11.044,0.525,0.444
512,0.824,0.738,0.030,-0.592,0.824,0.739,0.030,0.459,0.824,0.738,0.030,0.796,1.003,-3.231,-40.554,0.477,0.240
104,0.037,0.264,0.918,-0.219,0.036,0.264,0.918,0.596,0.037,0.264,0.918,0.796,0.902,-3.282,24.805,0.477,0.690
1086,0.012,0.811,0.030,0.147,0.012,0.812,0.029,0.730,0.012,0.811,0.030,0.788,0.985,73.659,-7.915,0.952,0.465
1487,0.783,0.024,0.451,-0.258,0.783,0.023,0.451,0.582,0.783,0.024,0.451,0.783,1.030,-26.336,52.547,0.334,0.881
446,1.000,0.505,0.004,-0.509,1.000,0.506,0.003,0.490,1.000,0.505,0.004,0.767,0.769,-6.619,-22.758,0.456,0.363
870,0.084,0.242,0.909,-0.235,0.084,0.242,0.909,0.590,0.084,0.242,0.909,0.763,0.925,-3.780,25.433,0.474,0.695
154,0.483,0.755,0.542,-0.792,0.483,0.755,0.542,0.386,0.483,0.755,0.542,0.758,2.053,-40.220,-49.333,0.249,0.180
1420,0.023,0.509,0.620,-0.151,0.023,0.509,0.620,0.621,0.023,0.509,0.620,0.755,1.263,11.868,12.107,0.570,0.603
519,0.739,0.814,0.014,-0.567,0.739,0.814,0.014,0.469,0.739,0.814,0.014,0.750,0.938,-1.041,-41.816,0.491,0.232
450,0.192,0.584,0.106,0.118,0.192,0.584,0.106,0.719,0.192,0.584,0.106,0.750,1.223,67.734,-6.965,0.915,0.472
1929,0.003,0.352,0.878,-0.233,0.003,0.352,0.878,0.591,0.003,0.352,0.878,0.745,0.852,-2.209,23.003,0.483,0.678
172,0.640,0.128,0.448,-0.216,0.640,0.128,0.448,0.597,0.640,0.128,0.448,0.740,1.445,-23.228,48.616,0.354,0.854
752,0.034,0.315,0.210,0.441,0.034,0.315,0.210,0.838,0.034,0.315,0.210,0.738,0.918,76.202,33.128,0.968,0.747
975,0.433,0.225,0.691,-0.351,0.433,0.225,0.691,0.548,0.433,0.225,0.691,0.730,1.567,-20.826,31.222,0.368,0.734
932,0.700,0.077,0.472,-0.249,0.700,0.077,0.472,0.585,0.700,0.077,0.472,0.724,1.162,-24.151,48.255,0.348,0.852
1857,0.148,0.519,0.456,-0.123,0.148,0.519,0.456,0.631,0.148,0.519,0.456,0.722,1.495,15.564,12.218,0.593,0.604
1607,0.880,0.670,0.056,-0.606,0.880,0.671,0.055,0.454,0.880,0.670,0.056,0.719,0.871,-4.279,-38.992,0.471,0.251
1759,0.346,0.459,0.169,0.025,0.346,0.459,0.169,0.685,0.346,0.459,0.169,0.718,1.392,64.850,-4.275,0.898,0.490
1442,0.408,0.435,0.518,-0.467,0.407,0.435,0.518,0.505,0.408,0.435,0.518,0.717,6.460,5.986,-9.664,0.534,0.453
1922,0.080,0.681,0.836,-0.597,0.080,0.681,0.836,0.458,0.080,0.681,0.836,0.714,0.945,-33.395,-68.521,0.291,0.048
1015,0.014,0.901,0.753,-0.668,0.014,0.901,0.753,0.432,0.014,0.901,0.753,0.711,0.802,-39.210,-74.562,0.255,0.006
1561,0.930,0.478,0.117,-0.525,0.930,0.478,0.116,0.484,0.930,0.478,0.117,0.707,0.868,-5.295,-23.100,0.464,0.361
1418,0.026,0.536,0.015,0.423,0.026,0.536,0.015,0.831,0.026,0.536,0.015,0.700,0.858,81.343,27.704,0.999,0.710
1162,0.069,0.294,0.205,0.432,0.068,0.294,0.205,0.834,0.069,0.294,0.205,0.694,0.906,75.719,33.589,0.965,0.751
21,0.544,0.947,0.145,-0.636,0.544,0.947,0.145,0.443,0.544,0.947,0.145,0.691,0.862,4.466,-48.059,0.525,0.189
685,0.038,0.782,0.054,0.127,0.037,0.782,0.053,0.722,0.038,0.782,0.054,0.690,0.927,73.415,-7.320,0.951,0.469
642,0.152,0.021,0.018,0.808,0.152,0.021,0.018,0.972,0.152,0.021,0.018,0.682,0.715,65.409,61.622,0.901,0.944
1312,0.301,0.560,0.075,0.064,0.301,0.560,0.075,0.700,0.301,0.560,0.075,0.679,1.086,65.231,-6.992,0.900,0.471
1969,0.071,0.463,0.606,-0.140,0.071,0.463,0.606,0.625,0.071,0.463,0.606,0.678,1.224,12.284,13.063,0.573,0.609
1334,0.500,0.171,0.677,-0.348,0.500,0.171,0.677,0.549,0.500,0.171,0.677,0.672,1.328,-21.110,32.223,0.367,0.741
1683,0.452,0.552,0.360,-0.432,0.452,0.552,0.360,0.518,0.452,0.552,0.360,0.672,3.498,8.760,-14.918,0.551,0.417
656,0.046,0.583,0.511,-0.140,0.046,0.583,0.511,0.625,0.046,0.583,0.511,0.670,1.158,14.155,9.589,0.584,0.585
1100,0.265,0.530,0.146,0.059,0.265,0.530,0.145,0.698,0.265,0.530,0.146,0.670,1.211,66.130,-5.696,0.906,0.480
1409,0.466,0.767,0.305,-0.540,0.465,0.767,0.305,0.478,0.466,0.767,0.305,0.669,1.448,19.637,-42.849,0.618,0.225
1106,0.177,0.988,0.596,-0.761,0.177,0.989,0.596,0.397,0.177,0.988,0.596,0.665,0.819,-44.040,-73.087,0.225,0.017
1844,0.031,0.741,0.839,-0.611,0.030,0.742,0.839,0.453,0.031,0.741,0.839,0.664,0.821,-34.390,-69.048,0.285,0.044
782,0.550,0.820,0.226,-0.596,0.550,0.820,0.226,0.458,0.550,0.820,0.226,0.659,1.110,7.751,-46.314,0.545,0.201
1248,0.843,0.705,0.084,-0.633,0.843,0.706,0.084,0.444,0.843,0.705,0.084,0.658,0.866,-3.679,-39.463,0.474,0.248
939,0.664,0.406,0.623,-0.717,0.664,0.406,0.623,0.414,0.664,0.406,0.623,0.653,2.533,-41.167,6.348,0.243,0.563
1266,0.620,0.848,0.182,-0.650,0.620,0.848,0.182,0.438,0.620,0.848,0.182,0.653,0.981,4.404,-45.977,0.524,0.203
1305,0.039,0.843,0.784,-0.666,0.039,0.843,0.784,0.432,0.039,0.843,0.784,0.652,0.811,-38.059,-74.367,0.262,0.008
180,0.040,0.703,0.141,0.115,0.040,0.703,0.141,0.718,0.040,0.703,0.141,0.652,0.961,73.524,-5.259,0.951,0.483
223,0.226,0.531,0.186,0.058,0.226,0.531,0.186,0.697,0.226,0.531,0.186,0.652,1.276,66.888,-5.145,0.910,0.484
1279,0.318,0.541,0.092,0.049,0.318,0.541,0.092,0.694,0.318,0.541,0.092,0.651,1.081,64.653,-6.428,0.896,0.475
1799,0.659,0.842,0.166,-0.667,0.659,0.842,0.166,0.432,0.659,0.842,0.166,0.650,0.962,3.428,-45.784,0.518,0.204
940,0.467,0.723,0.366,-0.568,0.467,0.723,0.366,0.468,0.467,0.723,0.366,0.650,1.820,18.835,-41.962,0.613,0.231
1237,0.822,0.490,0.224,-0.536,0.822,0.490,0.224,0.480,0.822,0.490,0.224,0.624,1.043,-0.205,-22.616,0.496,0.364
79,0.619,0.755,0.253,-0.628,0.619,0.755,0.253,0.446,0.619,0.755,0.253,0.623,1.242,6.745,-44.983,0.539,0.210
1609,0.417,0.779,0.661,-0.859,0.417,0.779,0.662,0.362,0.417,0.779,0.661,0.621,1.488,-42.131,-52.346,0.237,0.159
1308,0.238,0.247,0.846,-0.330,0.238,0.247,0.846,0.555,0.238,0.247,0.846,0.616,1.014,-9.657,24.135,0.437,0.686
1018,0.075,0.524,0.557,-0.156,0.075,0.524,0.557,0.619,0.075,0.524,0.557,0.616,1.133,12.967,11.777,0.577,0.601
1451,0.256,0.902,0.619,-0.777,0.256,0.902,0.619,0.392,0.256,0.902,0.619,0.614,0.950,-43.936,-71.731,0.226,0.026
369,0.952,0.082,0.623,-0.657,0.952,0.082,0.623,0.436,0.952,0.082,0.623,0.614,0.705,-48.594,23.293,0.197,0.680
350,0.752,0.721,0.155,-0.628,0.752,0.721,0.155,0.446,0.752,0.721,0.155,0.612,1.025,-2.893,-35.905,0.479,0.272
1828,0.327,0.684,0.531,-0.556,0.327,0.684,0.531,0.473,0.327,0.684,0.531,0.612,1.714,21.694,-34.448,0.631,0.282
1123,0.541,0.094,0.776,-0.411,0.540,0.094,0.776,0.526,0.541,0.094,0.776,0.611,0.897,-24.232,33.834,0.347,0.752
1837,0.124,0.036,0.044,0.796,0.124,0.035,0.044,0.968,0.124,0.036,0.044,0.611,0.655,65.689,60.939,0.903,0.939
168,0.493,0.542,0.017,-0.051,0.493,0.542,0.017,0.657,0.493,0.542,0.017,0.611,0.955,51.816,-5.394,0.817,0.482
600,0.486,0.688,0.402,-0.606,0.486,0.688,0.402,0.454,0.486,0.688,0.402,0.610,2.133,18.261,-41.066,0.610,0.237
1528,0.568,0.013,0.957,-0.539,0.568,0.013,0.958,0.479,0.568,0.013,0.957,0.610,0.645,-28.855,22.138,0.319,0.672
1827,0.103,0.410,0.146,0.340,0.103,0.410,0.146,0.801,0.103,0.410,0.146,0.609,0.873,77.143,29.819,0.974,0.725
948,0.404,0.629,0.474,-0.568,0.404,0.629,0.474,0.468,0.404,0.629,0.474,0.609,2.708,19.617,-34.757,0.618,0.280
1297,0.503,0.878,0.244,-0.625,0.503,0.878,0.244,0.447,0.503,0.878,0.244,0.609,0.960,8.709,-47.446,0.551,0.193
933,0.664,0.528,0.268,-0.467,0.664,0.528,0.268,0.505,0.664,0.528,0.268,0.608,1.537,4.230,-18.783,0.523,0.390
1671,0.074,0.963,0.669,-0.706,0.073,0.963,0.669,0.418,0.074,0.963,0.669,0.605,0.680,-41.273,-74.229,0.242,0.009
883,0.491,0.545,0.384,-0.516,0.491,0.545,0.384,0.487,0.491,0.545,0.384,0.603,3.746,7.761,-16.910,0.545,0.403
1778,0.424,0.515,0.454,-0.523,0.424,0.515,0.454,0.485,0.424,0.515,0.454,0.601,6.607,7.317,-10.072,0.542,0.450
1322,0.022,0.451,0.769,-0.242,0.022,0.451,0.769,0.588,0.022,0.451,0.769,0.601,0.805,1.538,18.739,0.507,0.648
212,0.374,0.931,0.243,-0.548,0.374,0.931,0.243,0.476,0.374,0.931,0.243,0.599,0.871,24.631,-47.465,0.649,0.193
1353,0.282,0.721,0.478,-0.485,0.282,0.721,0.478,0.498,0.282,0.721,0.478,0.599,1.364,21.332,-32.581,0.629,0.295
1058,0.449,0.723,0.689,-0.866,0.449,0.723,0.689,0.359,0.449,0.723,0.689,0.599,1.644,-43.418,-52.320,0.229,0.159
892,0.068,0.234,0.968,-0.270,0.068,0.234,0.968,0.577,0.068,0.234,0.968,0.598,0.664,-4.602,25.172,0.469,0.693
44,0.865,0.704,0.063,-0.633,0.865,0.705,0.063,0.444,0.865,0.704,0.063,0.595,0.742,-4.319,-39.873,0.470,0.245
733,0.000,0.857,0.319,-0.176,0.000,0.857,0.319,0.611,0.000,0.857,0.319,0.584,0.682,51.416,-35.642,0.815,0.274
651,0.427,0.726,0.705,-0.862,0.427,0.727,0.706,0.361,0.427,0.726,0.705,0.578,1.578,-43.116,-52.942,0.231,0.155
1554,0.294,0.506,0.435,-0.263,0.294,0.506,0.435,0.580,0.294,0.506,0.435,0.575,2.012,5.950,-1.158,0.534,0.512
351,0.940,0.555,0.088,-0.583,0.940,0.555,0.088,0.462,0.940,0.555,0.088,0.575,0.675,-6.419,-24.131,0.457,0.353
543,0.372,0.756,0.378,-0.511,0.372,0.757,0.378,0.489,0.372,0.756,0.378,0.574,1.492,21.974,-43.540,0.633,0.220
564,0.395,0.521,0.461,-0.483,0.394,0.521,0.461,0.499,0.395,0.521,0.461,0.574,4.523,7.386,-9.236,0.543,0.456
1256,0.672,0.453,0.328,-0.468,0.672,0.453,0.328,0.505,0.672,0.453,0.328,0.574,1.669,3.484,-17.665,0.519,0.398
1707,0.997,0.133,0.234,-0.363,0.997,0.132,0.234,0.543,0.997,0.133,0.234,0.573,0.663,-33.971,55.681,0.287,0.903
599,0.385,0.370,0.658,-0.432,0.385,0.370,0.658,0.518,0.385,0.370,0.658,0.569,1.974,-12.475,3.983,0.420,0.547
1455,0.871,0.133,0.289,-0.292,0.871,0.133,0.288,0.569,0.871,0.133,0.289,0.568,0.769,-31.249,54.706,0.304,0.896
1695,0.086,0.041,0.068,0.805,0.085,0.041,0.067,0.971,0.086,0.041,0.068,0.567,0.610,66.315,61.008,0.907,0.939
531,0.485,0.233,0.674,-0.395,0.485,0.233,0.674,0.531,0.485,0.233,0.674,0.567,1.285,-21.829,31.271,0.362,0.735
1566,0.962,0.268,0.206,-0.436,0.962,0.268,0.206,0.516,0.962,0.268,0.206,0.564,0.747,-36.742,52.849,0.270,0.883
1547,0.782,0.563,0.214,-0.559,0.782,0.563,0.214,0.472,0.782,0.563,0.214,0.563,0.991,0.990,-22.264,0.503,0.366
360,0.372,0.127,0.995,-0.493,0.371,0.126,0.995,0.496,0.372,0.127,0.995,0.563,0.648,-24.481,21.265,0.346,0.666
984,0.980,0.069,0.574,-0.623,0.980,0.069,0.574,0.448,0.980,0.069,0.574,0.563,0.618,-48.521,24.353,0.197,0.687
647,0.100,0.210,0.999,-0.309,0.099,0.210,0.999,0.563,0.100,0.210,0.999,0.562,0.624,-5.505,25.373,0.463,0.694
1401,0.620,0.414,0.683,-0.738,0.620,0.414,0.683,0.406,0.620,0.414,0.683,0.559,2.019,-41.383,5.135,0.241,0.555
306,0.190,0.453,0.023,0.334,0.190,0.453,0.023,0.798,0.190,0.453,0.023,0.557,0.718,79.581,29.564,0.989,0.723
1413,0.535,0.692,0.693,-0.929,0.535,0.692,0.693,0.336,0.535,0.692,0.693,0.557,1.559,-45.487,-52.370,0.216,0.159
842,0.310,0.546,0.112,0.032,0.310,0.546,0.112,0.688,0.310,0.546,0.112,0.556,0.966,65.087,-6.096,0.899,0.478
1611,0.066,0.675,0.414,-0.155,0.065,0.676,0.414,0.619,0.066,0.675,0.414,0.556,0.909,16.437,8.338,0.599,0.577
1854,0.447,0.756,0.651,-0.858,0.446,0.756,0.651,0.362,0.447,0.756,0.651,0.555,1.407,-42.732,-51.635,0.233,0.164
291,0.343,0.616,0.036,0.004,0.343,0.617,0.036,0.678,0.343,0.616,0.036,0.551,0.858,62.915,-7.885,0.886,0.465
1298,0.114,0.404,0.712,-0.229,0.113,0.404,0.712,0.592,0.114,0.404,0.712,0.551,0.919,3.994,19.416,0.522,0.653
